"gi_id","gi_name","upt_id","ultg_id","lat","lng","exact_map_url","provenance_source_url","verification_status"
"MTU-GI-UPT-MDN-GI-150KV-MLIWANG-1f491ee5ea63067d","GI 150KV MLIWANG","UPT-MDN","MTU-ULTG-UPT-MDN-BABAT","-6.8191615","111.8915707","https://www.google.com/maps/search/?api=1&query=-6.8191615,111.8915707","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20MLIWANG&hl=id&gl=id","verified_candidate"
"MTU-GI-UPT-MDN-GI-150KV-NEWPACITAN-88f1d4b208729db7","GI 150KV NEWPACITAN","UPT-MDN","MTU-ULTG-UPT-MDN-MADIUN","-8.1833567","111.1132916","https://www.google.com/maps/search/?api=1&query=-8.1833567,111.1132916","https://www.google.com/search?tbm=map&q=GI%20NEWPACITAN&hl=id&gl=id","verified_candidate_final"
"MTU-GI-UPT-MDN-GI-150KV-NEWPONOROGO-10277bd25a02c7c9","GI 150KV NEWPONOROGO","UPT-MDN","MTU-ULTG-UPT-MDN-MADIUN","","","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20NEWPONOROGO&hl=id&gl=id","unverified"
"MTU-GI-UPT-MDN-GI-150KV-NEWTULUNGAGUNG-fa4ed2495a6e2db5","GI 150KV NEWTULUNGAGUNG","UPT-MDN","MTU-ULTG-UPT-MDN-KEDIRI","","","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20NEWTULUNGAGUNG&hl=id&gl=id","unverified"
"MTU-GI-UPT-MDN-GI-150KV-NGANJUK-II-7a4a9613f006aa6e","GI 150KV NGANJUK II","UPT-MDN","MTU-ULTG-UPT-MDN-MADIUN","-7.6418227","111.8702736","https://www.google.com/maps/search/?api=1&query=-7.6418227,111.8702736","https://www.google.com/search?tbm=map&q=GI%20NGANJUK%20II&hl=id&gl=id","verified_candidate_final"
"MTU-GI-UPT-MDN-GI-150KV-NGAWI","GI 150KV NGAWI","UPT-MDN","MTU-ULTG-UPT-MDN-MADIUN","-7.4071146","111.4569174","https://www.google.com/maps/search/?api=1&query=-7.4071146,111.4569174","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20NGAWI&hl=id&gl=id","verified_candidate"
"MTU-GI-UPT-MDN-GI-150KV-NGIMBANG","GI 150KV NGIMBANG","UPT-MDN","MTU-ULTG-UPT-MDN-BABAT","-7.2867854","112.189246","https://www.google.com/maps/search/?api=1&query=-7.2867854,112.189246","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20NGIMBANG&hl=id&gl=id","verified_candidate"
"MTU-GI-UPT-MDN-GI-150KV-PACIRAN-530b7eff2f3e07db","GI 150KV PACIRAN","UPT-MDN","MTU-ULTG-UPT-MDN-BABAT","-6.8907781","112.4342531","https://www.google.com/maps/search/?api=1&query=-6.8907781,112.4342531","https://www.google.com/search?tbm=map&q=GI%20PACIRAN&hl=id&gl=id","verified_candidate_final"
"MTU-GI-UPT-MDN-GI-150KV-SEMENTUBAN-3-ca8dcfcca3f6e938","GI 150KV SEMENTUBAN 3","UPT-MDN","MTU-ULTG-UPT-MDN-BABAT","-6.8617594","111.9077921","https://www.google.com/maps/search/?api=1&query=-6.8617594,111.9077921","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20SEMENTUBAN%203&hl=id&gl=id","verified_candidate"
"MTU-GI-UPT-MDN-GI-150KV-SURYAZIGZAG","GI 150KV SURYAZIGZAG","UPT-MDN","MTU-ULTG-UPT-MDN-KEDIRI","","","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20SURYAZIGZAG&hl=id&gl=id","unverified"
