id,normalized_name,upt_id,ultg_id
MTU-GI-UPT-MDN-GI-150KV-SURYAZIGZAG,GI 150KV SURYAZIGZAG,UPT-MDN,MTU-ULTG-UPT-MDN-KEDIRI
MTU-GI-UPT-MDN-GI-150KV-TANJUNG-AWAR-AWAR-3a041f23e60f359c,GI 150KV TANJUNG AWAR AWAR,UPT-MDN,MTU-ULTG-UPT-MDN-BABAT
MTU-GI-UPT-MDN-GI-150KV-TUBAN,GI 150KV TUBAN,UPT-MDN,MTU-ULTG-UPT-MDN-BABAT
MTU-GI-UPT-MDN-GI-30KV-DOLOPO-7275c9c1a2e6e566,GI 30KV DOLOPO,UPT-MDN,MTU-ULTG-UPT-MDN-MADIUN
MTU-GI-UPT-MDN-GI-30KV-GIRINGAN-68577853a06f25b1,GI 30KV GIRINGAN,UPT-MDN,MTU-ULTG-UPT-MDN-MADIUN
MTU-GI-UPT-MDN-GI-30KV-GOLANG-2ecad890eef979aa,GI 30KV GOLANG,UPT-MDN,MTU-ULTG-UPT-MDN-MADIUN
MTU-GI-UPT-MDN-GI-30KV-NGEBEL-0c5a6f22605afa40,GI 30KV NGEBEL,UPT-MDN,MTU-ULTG-UPT-MDN-MADIUN
MTU-GI-UPT-MDN-GI-30KV-TULUNGAGUNG-903d8d0c76afa936,GI 30KV TULUNGAGUNG,UPT-MDN,MTU-ULTG-UPT-MDN-KEDIRI
MTU-GI-UPT-MDN-GI-70KV-BANARAN,GI 70KV BANARAN,UPT-MDN,MTU-ULTG-UPT-MDN-KEDIRI
MTU-GI-UPT-MDN-GI-70KV-BLITAR-BARU,GI 70KV BLITAR BARU,UPT-MDN,MTU-ULTG-UPT-MDN-KEDIRI
MTU-GI-UPT-MDN-GI-70KV-CARUBAN-bafc995256555b9c,GI 70KV CARUBAN,UPT-MDN,MTU-ULTG-UPT-MDN-MADIUN
MTU-GI-UPT-MDN-GI-70KV-DOLOPO,GI 70KV DOLOPO,UPT-MDN,MTU-ULTG-UPT-MDN-MADIUN
MTU-GI-UPT-MDN-GI-70KV-GUDANGGARAM-6409d92e40cd308b,GI 70KV GUDANGGARAM,UPT-MDN,MTU-ULTG-UPT-MDN-KEDIRI
MTU-GI-UPT-MDN-GI-70KV-KERTOSONO,GI 70KV KERTOSONO,UPT-MDN,MTU-ULTG-UPT-MDN-KEDIRI
MTU-GI-UPT-MDN-GI-70KV-MAGETAN-bb4a4e9e5afbf0a5,GI 70KV MAGETAN,UPT-MDN,MTU-ULTG-UPT-MDN-MADIUN
MTU-GI-UPT-MDN-GI-70KV-MANISREJO,GI 70KV MANISREJO,UPT-MDN,MTU-ULTG-UPT-MDN-MADIUN
MTU-GI-UPT-MDN-GI-70KV-MRANGGEN,GI 70KV MRANGGEN,UPT-MDN,MTU-ULTG-UPT-MDN-MADIUN
MTU-GI-UPT-MDN-GI-70KV-NGANJUK-031cb0682b3edbb7,GI 70KV NGANJUK,UPT-MDN,MTU-ULTG-UPT-MDN-MADIUN
MTU-GI-UPT-MDN-GI-70KV-PACITAN-052586919e420f0a,GI 70KV PACITAN,UPT-MDN,MTU-ULTG-UPT-MDN-MADIUN
MTU-GI-UPT-MDN-GI-70KV-PARE,GI 70KV PARE,UPT-MDN,MTU-ULTG-UPT-MDN-KEDIRI
MTU-GI-UPT-MDN-GI-70KV-PLTA-TULUNGAGUNG-0652fdd655039227,GI 70KV PLTA TULUNGAGUNG,UPT-MDN,MTU-ULTG-UPT-MDN-KEDIRI
MTU-GI-UPT-MDN-GI-70KV-PONOROGO,GI 70KV PONOROGO,UPT-MDN,MTU-ULTG-UPT-MDN-MADIUN
MTU-GI-UPT-MDN-GI-70KV-TRENGGALEK,GI 70KV TRENGGALEK,UPT-MDN,MTU-ULTG-UPT-MDN-KEDIRI
MTU-GI-UPT-MDN-GI-70KV-TULUNGAGUNG,GI 70KV TULUNGAGUNG,UPT-MDN,MTU-ULTG-UPT-MDN-KEDIRI
MTU-GI-UPT-MDN-GIS-150KV-PLTU-PACITAN-0945ac726526a4ca,GIS 150KV PLTU PACITAN,UPT-MDN,MTU-ULTG-UPT-MDN-MADIUN
MTU-GI-UPT-MDN-GITET-500KV-KEDIRI-8711ffde67369ba8,GITET 500KV KEDIRI,UPT-MDN,MTU-ULTG-UPT-MDN-KEDIRI
MTU-GI-UPT-MDN-GITET-500KV-NGIMBANG-26476352f9d00a03,GITET 500KV NGIMBANG,UPT-MDN,MTU-ULTG-UPT-MDN-BABAT
MTU-GI-UPT-MLG-GI-150KV-BALONGBENDO-2a074d863d0c29fc,GI 150KV BALONGBENDO,UPT-MLG,MTU-ULTG-UPT-MLG-MOJOKERTO
