"gi_id","gi_name","upt_id","ultg_id","lat","lng","place_id","poi_title","poi_address","source_url","status"
"MTU-GI-UPT-SBY-GI-150KV-SEDATI-901c4a7ab44fb222","GI 150KV SEDATI","UPT-SBY","ULTG-28V8Y3","-7.3953371","112.7618523","0x2dd7e50003a9d997:0xd876fa640a3d27da","PLN Gardu Induk Sedati 150 kV","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20SEDATI&hl=id&gl=id","candidate"
"MTU-GI-UPT-GRS-GI-150KV-SEGOROMADU-ef349984c3c145b4","GI 150KV SEGOROMADU","UPT-GRS","MTU-ULTG-UPT-GRS-GRESIK","-7.194514799999999","112.6368425","0x2dd7fff6883aa0bb:0x6605e219f76698b4","PT. PLN (Persero) GI Altaprima","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20SEGOROMADU&hl=id&gl=id","candidate"
"MTU-GI-UPT-MLG-GI-150KV-SEKARPUTIH","GI 150KV SEKARPUTIH","UPT-MLG","MTU-ULTG-UPT-MLG-MOJOKERTO","","","","","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20SEKARPUTIH&hl=id&gl=id","no_poi_match"
"MTU-GI-UPT-MDN-GI-150KV-SEMENTUBAN-3-ca8dcfcca3f6e938","GI 150KV SEMENTUBAN 3","UPT-MDN","MTU-ULTG-UPT-MDN-BABAT","-6.8617593999999995","111.9077921","0x2e77a10179df55a3:0x9c4fbe693fe0c3d6","Gardu Induk Tuban 3","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20SEMENTUBAN%203&hl=id&gl=id","candidate"
"MTU-GI-UPT-MLG-GI-150KV-SENGKALING","GI 150KV SENGKALING","UPT-MLG","MTU-ULTG-UPT-MLG-MALANG","","","","","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20SENGKALING&hl=id&gl=id","no_poi_match"
"MTU-GI-UPT-SBY-GI-150KV-SIDOARJO","GI 150KV SIDOARJO","UPT-SBY","ULTG-28V8Y3","","","","","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20SIDOARJO&hl=id&gl=id","no_poi_match"
"MTU-GI-UPT-PBG-GI-150KV-SITUBONDO","GI 150KV SITUBONDO","UPT-PBG","MTU-ULTG-UPT-PBG-JEMBER","-7.7169664","114.0184029","0x2dd729098fc1b1cb:0x6f7a81776a295850","Kantor PLN Gardu Induk Situbondo","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20SITUBONDO&hl=id&gl=id","candidate"
"MTU-GI-UPT-SBY-GI-150KV-SUKOLILO","GI 150KV SUKOLILO","UPT-SBY","ULTG-PLNM","-7.2901149","112.77031799999999","0x2dd7fa49465ebd07:0x5ab6ba587b3bdd1e","GI 150kV Sukolilo","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20SUKOLILO&hl=id&gl=id","candidate"
"MTU-GI-UPT-GRS-GI-150KV-SUMENEP-4ed85b2f4ccae079","GI 150KV SUMENEP","UPT-GRS","MTU-ULTG-UPT-GRS-SAMPANG","-7.0092352","113.8355596","0x2dd9e68ac762d3db:0x33732ab0aafc512e","PT. PLN (Persero) Gardu Induk 150kV Sumenep","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20SUMENEP&hl=id&gl=id","candidate"
"MTU-GI-UPT-MLG-GI-150KV-SURABAYA-BARAT","GI 150KV SURABAYA BARAT","UPT-MLG","MTU-ULTG-UPT-MLG-KRIAN","","","","","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20SURABAYA%20BARAT&hl=id&gl=id","no_poi_match"
"MTU-GI-UPT-SBY-GI-150KV-SURABAYA-SELATAN-2f87665cca1bec95","GI 150KV SURABAYA SELATAN","UPT-SBY","ULTG-PLNM","-7.3084226999999995","112.8086877","0x2dd7fa8188f208bd:0xfd453bd413b0aa2c","GI 150kV Surabaya Selatan","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20SURABAYA%20SELATAN&hl=id&gl=id","candidate"
"MTU-GI-UPT-MDN-GI-150KV-SURYAZIGZAG","GI 150KV SURYAZIGZAG","UPT-MDN","MTU-ULTG-UPT-MDN-KEDIRI","","","","","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20SURYAZIGZAG&hl=id&gl=id","no_poi_match"
"MTU-GI-UPT-MLG-GI-150KV-SUTAMI","GI 150KV SUTAMI","UPT-MLG","MTU-ULTG-UPT-MLG-MALANG","","","","","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20SUTAMI&hl=id&gl=id","no_poi_match"
"MTU-GI-UPT-PBG-GI-150KV-TANGGUL","GI 150KV TANGGUL","UPT-PBG","MTU-ULTG-UPT-PBG-JEMBER","-8.1774534","113.4515416","0x2dd68bbf87df8b07:0xf9f0a1287729be0c","PT. PLN (Persero) Gardu Induk 150kV Tanggul","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20TANGGUL&hl=id&gl=id","candidate"
"MTU-GI-UPT-MDN-GI-150KV-TANJUNG-AWAR-AWAR-3a041f23e60f359c","GI 150KV TANJUNG AWAR AWAR","UPT-MDN","MTU-ULTG-UPT-MDN-BABAT","","","","","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20TANJUNG%20AWAR%20AWAR&hl=id&gl=id","no_poi_match"
"MTU-GI-UPT-MDN-GI-150KV-TUBAN","GI 150KV TUBAN","UPT-MDN","MTU-ULTG-UPT-MDN-BABAT","-6.888954399999999","112.03468649999999","0x2e77a2ba961f7ac7:0x8520032ebc3a479","PLN Gardu Induk Tuban","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20TUBAN&hl=id&gl=id","candidate"
"MTU-GI-UPT-GRS-GI-150KV-WILMAR-21e8b2bad98d82ef","GI 150KV WILMAR","UPT-GRS","MTU-ULTG-UPT-GRS-GRESIK","-7.174559599999999","112.6664598","0x2dd80181dcb1d4ff:0xe91958364dd5c996","GI 150kV KTT WILMAR","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20WILMAR&hl=id&gl=id","candidate"
"MTU-GI-UPT-MLG-GI-150KV-WLINGI-01508f3af230b558","GI 150KV WLINGI","UPT-MLG","MTU-ULTG-UPT-MLG-MALANG","","","","","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20WLINGI&hl=id&gl=id","no_poi_match"
"MTU-GI-UPT-MDN-GI-30KV-DOLOPO-7275c9c1a2e6e566","GI 30KV DOLOPO","UPT-MDN","MTU-ULTG-UPT-MDN-MADIUN","","","","","","https://www.google.com/search?tbm=map&q=Gardu%20Induk%20DOLOPO&hl=id&gl=id","no_poi_match"
